Extension,PCFG_Prior,Hypothesis
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), female_(female_(X)), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(intersection_(all_(C), X), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), female_(parents_of_(X, C)), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), male_(children_of_(X, C)), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), female_(children_of_(X, C)), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(generation0_(X, C), C), C)), female_(X), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(children_of_(generation1_(X, C), C), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), parents_of_(children_of_(X, C), C), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), male_(parents_of_(X, C)), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(female_(generation0_(X, C)), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(female_(X), C), C)), female_(X), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(children_of_(parents_of_(X, C), C), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(complement_(complement_(X, C), C), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(female_(female_(X)), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), intersection_(all_(C), X), C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(children_of_(close_(X, C), C), C), C)), X, C)"
DD_SD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(X, C), C)), intersection_(X, all_(C)), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), intersection_(X, all_(C)), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(close_(generation0_(X, C), C), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(intersection_(all_(C), X), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), female_(parents_of_(X, C)), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), intersection_(all_(C), X), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(parents_of_(children_of_(X, C), C), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(female_(female_(X)), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(parents_of_(X, C), C), C)), female_(X), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(close_(X, C), C), C)), female_(X), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(spouses_of_(close_(X, C), C), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), male_(parents_of_(X, C)), C)"
