"Language","Glottocode","PC1","PC2","PC3"
"Malay, Manokwari Papuan","mala1479",-4.60265598662387,-0.0641684252760441,-0.106022981145554
"Malay, Manokwari Papuan","mala1479",-4.60265598662387,-0.0641684252760441,-0.106022981145554
"Minangkabau","mina1268",-3.11696775857016,5.64754769771238,-3.10855363242474
"English","stan1293",0.44325196260088,3.4190782292623,0.313995704408063
"English","stan1293",-6.95509631986783,1.812684836103,3.53938026128774
"Hebrew","hebr1245",-4.55770599428627,0.931867390994204,3.31786554267579
"Hebrew","hebr1245",-4.55770599428627,0.931867390994204,3.31786554267579
"Roon","roon1237",0.507458257179389,-1.57008818387325,-0.53705357062241
"Indonesian, Riau","riau1236",-1.67226685914568,-0.896912846948131,-0.940594286793205
"Malay, Siak","siak1238",0.187221818498484,-0.593510083470662,-1.06095116201145
"Indonesian, Jakarta","cjin1234",-4.13664426235428,2.36198842617576,1.0604244874713
"Tukang Besi","tuka1247",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Wolio","woli1241",0.507458257179389,-1.57008818387325,-0.53705357062241
"Muna","muna1247",0.507458257179389,-1.57008818387325,-0.53705357062241
"Palu’e","palu1252",0.507458257179389,-1.57008818387325,-0.53705357062241
"Skou","skou1239",1.6826152888071,0.682389500466741,0.976999345544478
"Barupu","lago1243",1.40487420024777,0.835187481252791,0.963007748348444
"Puare","puar1242",2.75746792113287,0.554074315379561,1.19307032038134
"Wersing","wers1238",1.58132508625919,-0.024757228231087,0.711171594396361
"Iha","ihaa1241",1.63010625170359,0.263684964317947,0.921750437495546
"One","onee1245",1.46425127180867,-0.16381130874306,0.513495808278424
"Kanum (Ngkâlmpw)","kanu1280",1.95732170429767,-0.167760905672433,0.746451152433507
"Meyah","meya1236",0.947960908072016,0.191546665986616,0.391727277165213
"Ireres",NA,2.96992420134658,-0.0515768041938928,0.571597046857163
"Sentani","nucl1632",0.99093429630442,0.136961001436525,0.174782253362479
"Wooi","woii237",0.507458257179389,-1.57008818387325,-0.53705357062241
"Biak","biak1248",0.507458257179389,-1.57008818387325,-0.53705357062241
"Yali","yali1257",-0.754382709772008,-0.281056005241088,-0.134465959245075
